Category,Link
Exotic Meat,https://www.blinkit.com/cn/exotic-meat/cid/4/1201
Fish & Seafood,https://www.blinkit.com/cn/fish-seafood/cid/4/1361
Chicken,https://www.blinkit.com/cn/chicken/cid/4/1362
Mutton,https://www.blinkit.com/cn/mutton/cid/4/1363
"Sausage, Salami & Ham",https://www.blinkit.com/cn/sausage-salami-ham/cid/4/1388
Dog Food & Treats,https://www.blinkit.com/cn/dog-food-treats/cid/5/133
Cat Food & Treats,https://www.blinkit.com/cn/cat-food-treats/cid/5/134
Pet Grooming & Accessories,https://www.blinkit.com/cn/pet-grooming-accessories/cid/5/403
Cat Treats,https://www.blinkit.com/cn/cat-treats/cid/5/291
Accessories & Other Supplies,https://www.blinkit.com/cn/accessories-other-supplies/cid/5/192
Dog Treat,https://www.blinkit.com/cn/dog-treat/cid/5/227
Other Pet Supplies,https://www.blinkit.com/cn/other-pet-supplies/cid/5/1466
Pet Health & Supplements,https://www.blinkit.com/cn/pet-health-supplements/cid/5/992
Pet Litter,https://www.blinkit.com/cn/pet-litter/cid/5/991
Pet Toys,https://www.blinkit.com/cn/pet-toys/cid/5/1614
Baby Diapers,https://www.blinkit.com/cn/baby-diapers/cid/7/84
Baby Feeding Needs,https://www.blinkit.com/cn/baby-feeding-needs/cid/7/169
Baby Wipes,https://www.blinkit.com/cn/baby-wipes/cid/7/996
Hygiene,https://www.blinkit.com/cn/hygiene/cid/7/85
Baby's Health & Safety Tools,https://www.blinkit.com/cn/babys-health-safety-tools/cid/7/997
Oral & Nasal Care,https://www.blinkit.com/cn/oral-nasal-care/cid/7/998
Baby Gift Hampers,https://www.blinkit.com/cn/baby-gift-hampers/cid/7/999
Diapers & Wipes,https://www.blinkit.com/cn/diapers-wipes/cid/7/1000
Baby Bathing Needs,https://www.blinkit.com/cn/baby-bathing-needs/cid/7/1001
Baby Skin & Hair Care,https://www.blinkit.com/cn/baby-skin-hair-care/cid/7/1002
Baby Food,https://www.blinkit.com/cn/baby-food/cid/7/1590
Mom Care,https://www.blinkit.com/cn/mom-care/cid/7/1967
Other Diapering Needs,https://www.blinkit.com/cn/other-diapering-needs/cid/7/1966
Nursing,https://www.blinkit.com/cn/nursing/cid/7/597
Current Affairs & Business,https://www.blinkit.com/cn/current-affairs-business/cid/851/1015
Business Bookss,https://www.blinkit.com/cn/business-bookss/cid/851/763
Current Affairs Books,https://www.blinkit.com/cn/current-affairs-books/cid/851/761
Children's Books,https://www.blinkit.com/cn/childrens-books/cid/851/649
Lifestyle Books,https://www.blinkit.com/cn/lifestyle-books/cid/851/648
Hobby Books,https://www.blinkit.com/cn/hobby-books/cid/851/1342
Architecture Books,https://www.blinkit.com/cn/architecture-books/cid/851/1430
Flavoured Yogurts,https://www.blinkit.com/cn/flavoured-yogurts/cid/9/106
Ice Cream & Frozen Dessert,https://www.blinkit.com/cn/ice-cream-frozen-dessert/cid/9/183
Indian Sweets,https://www.blinkit.com/cn/indian-sweets/cid/9/943
Chocolates,https://www.blinkit.com/cn/chocolates/cid/9/944
Chocolate Packs,https://www.blinkit.com/cn/chocolate-packs/cid/9/1173
Chocolate Syrup,https://www.blinkit.com/cn/chocolate-syrup/cid/9/1289
Candies & Gum,https://www.blinkit.com/cn/candies-gum/cid/9/1930
Mouth Fresheners,https://www.blinkit.com/cn/mouth-fresheners/cid/9/1933
Cakes and Rolls,https://www.blinkit.com/cn/cakes-and-rolls/cid/9/108
Chocolate Bars,https://www.blinkit.com/cn/chocolate-bars/cid/9/1736
Filled Bars,https://www.blinkit.com/cn/filled-bars/cid/9/1737
Wafer Chocolates,https://www.blinkit.com/cn/wafer-chocolates/cid/9/1172
Syrups,https://www.blinkit.com/cn/syrups/cid/9/1298
Vegan Drinks,https://www.blinkit.com/cn/vegan-drinks/cid/12/87
