category,item,description,price,category_url
Exotic Meat,Licious Chicken Curry Cut (Large - 7 to 11 Pcs),450 g,₹185,https://www.blinkit.com/cn/exotic-meat/cid/4/1201
Exotic Meat,Licious Chicken Breast - Boneless,400 g,₹299,https://www.blinkit.com/cn/exotic-meat/cid/4/1201
Exotic Meat,ChefiGo Chicken Curry Cut,450 g,₹143,https://www.blinkit.com/cn/exotic-meat/cid/4/1201
Exotic Meat,Licious Chicken Curry Cut (Small Pieces),450 g,₹185,https://www.blinkit.com/cn/exotic-meat/cid/4/1201
Exotic Meat,ChefiGo Boneless Chicken Breast,450 g,₹240,https://www.blinkit.com/cn/exotic-meat/cid/4/1201
Exotic Meat,Licious Chicken Drumstick - Pack of 6,400 g,₹379,https://www.blinkit.com/cn/exotic-meat/cid/4/1201
Exotic Meat,Truchicken Boneless Chicken Breast,400 g,₹199,https://www.blinkit.com/cn/exotic-meat/cid/4/1201
Exotic Meat,Truchicken Chicken Curry Cut (No Backbone),400 g,₹146,https://www.blinkit.com/cn/exotic-meat/cid/4/1201
Exotic Meat,Licious Boneless Chicken Cubes,450 g,₹339,https://www.blinkit.com/cn/exotic-meat/cid/4/1201
Exotic Meat,ChefiGo Chicken Drumstick (Antibiotic Residue Free),500 g,₹205,https://www.blinkit.com/cn/exotic-meat/cid/4/1201
Exotic Meat,Licious Goat Curry Cut (Mini Pack),300 g,₹369,https://www.blinkit.com/cn/exotic-meat/cid/4/1201
Exotic Meat,Prasuma Fresh Chilled Chicken Seekh Kebab - Pack of 2,2 x 500 g,₹690,https://www.blinkit.com/cn/exotic-meat/cid/4/1201
Fish & Seafood,ITC Master Chef Medium Prawns Peeled & Deveined (Frozen),200 g,₹228,https://www.blinkit.com/cn/fish-seafood/cid/4/1361
Fish & Seafood,ITC Master Chef Large Prawns Peeled & Deveined,200 g,₹260,https://www.blinkit.com/cn/fish-seafood/cid/4/1361
Fish & Seafood,Godrej Real Good Large Prawns Peeled & Devined,200 g,₹240,https://www.blinkit.com/cn/fish-seafood/cid/4/1361
Fish & Seafood,Godrej Real Good Medium Prawns Peeled & Devined,200 g,₹210,https://www.blinkit.com/cn/fish-seafood/cid/4/1361
Fish & Seafood,Golden Prize Pink Salmon in Oil,2 x 120 g,₹650,https://www.blinkit.com/cn/fish-seafood/cid/4/1361
Fish & Seafood,Golden Prize Tuna Chunk In Olive Oil,2 x 185 g,₹570,https://www.blinkit.com/cn/fish-seafood/cid/4/1361
Fish & Seafood,Golden Prize Tuna Chunk In Tuna,2 x 185 g,₹480,https://www.blinkit.com/cn/fish-seafood/cid/4/1361
Chicken,Licious Chicken Curry Cut (Large - 7 to 11 Pcs),450 g,₹185,https://www.blinkit.com/cn/chicken/cid/4/1362
Chicken,Licious Chicken Breast - Boneless,400 g,₹299,https://www.blinkit.com/cn/chicken/cid/4/1362
Chicken,ChefiGo Chicken Curry Cut,450 g,₹143,https://www.blinkit.com/cn/chicken/cid/4/1362
Chicken,Delichic Raw Frozen Chicken Curry Cut,500 g,₹185,https://www.blinkit.com/cn/chicken/cid/4/1362
Chicken,Licious Chicken Curry Cut (Small Pieces),450 g,₹185,https://www.blinkit.com/cn/chicken/cid/4/1362
Chicken,Meatigo Fresh Chicken Curry Cut,400 g,₹149,https://www.blinkit.com/cn/chicken/cid/4/1362
Chicken,ChefiGo Boneless Chicken Breast,450 g,₹240,https://www.blinkit.com/cn/chicken/cid/4/1362
Chicken,Meatigo By Prasuma Antibiotic-Free Boneless Chicken Breast (Frozen),450 g,₹256,https://www.blinkit.com/cn/chicken/cid/4/1362
Chicken,Meatzza Boneless Frozen Chicken Breast (Antibiotic Free),500 g,₹260,https://www.blinkit.com/cn/chicken/cid/4/1362
Chicken,Delichic Frozen Chicken Liver,500 g,₹150,https://www.blinkit.com/cn/chicken/cid/4/1362
Chicken,Meatzza Mince Frozen Chicken Keema (Antibiotic Free),500 g,₹260,https://www.blinkit.com/cn/chicken/cid/4/1362
Chicken,Delichic Boneless Frozen Chicken Tikka Cubes Cut,500 g,₹268,https://www.blinkit.com/cn/chicken/cid/4/1362
Chicken,Meatzza Boneless Frozen Chicken Thigh (Antibiotic Free),500 g,₹280,https://www.blinkit.com/cn/chicken/cid/4/1362
Chicken,Meatzza Frozen Chicken Drumstick (Antibiotic Free),500 g,₹245,https://www.blinkit.com/cn/chicken/cid/4/1362
Chicken,Meatigo By Prasuma Antibiotic-Free Chicken Curry Cut (Frozen),450 g,₹186,https://www.blinkit.com/cn/chicken/cid/4/1362
Chicken,Meatzza Bone-in Frozen Chicken Curry Cut (Antibiotic Free),500 g,₹195,https://www.blinkit.com/cn/chicken/cid/4/1362
Chicken,Meatzza Frozen Chicken Wings (Antibiotic Free),500 g,₹230,https://www.blinkit.com/cn/chicken/cid/4/1362
Chicken,Delichic Boneless Frozen Chicken Thigh,500 g,₹279,https://www.blinkit.com/cn/chicken/cid/4/1362
Chicken,Delichic Frozen Chicken Keema,500 g,₹239,https://www.blinkit.com/cn/chicken/cid/4/1362
Chicken,Delichic Frozen Chicken Drumstick,500 g,₹242,https://www.blinkit.com/cn/chicken/cid/4/1362
Chicken,Delichic Frozen Chicken Breast,500 g,₹254,https://www.blinkit.com/cn/chicken/cid/4/1362
Chicken,Delichic Chicken Broth,200 g,₹182,https://www.blinkit.com/cn/chicken/cid/4/1362
Chicken,Delichic Frozen Chicken Curry Cut (With Skin),500 g,₹178,https://www.blinkit.com/cn/chicken/cid/4/1362
Chicken,Katlego Chicken Curry Cut,400 g,₹99,https://www.blinkit.com/cn/chicken/cid/4/1362
Chicken,Katlego Chicken Drumstick 2 pcs + katlego Chicken Curry Cut Combo,180 g + 400 g,₹166,https://www.blinkit.com/cn/chicken/cid/4/1362
Chicken,Katlego Chicken Drumstick 2 pcs,180 g,₹69,https://www.blinkit.com/cn/chicken/cid/4/1362
Chicken,Licious Chicken Drumstick - Pack of 6,400 g,₹379,https://www.blinkit.com/cn/chicken/cid/4/1362
Chicken,Truchicken Boneless Chicken Breast,400 g,₹199,https://www.blinkit.com/cn/chicken/cid/4/1362
Chicken,Truchicken Chicken Curry Cut (No Backbone),400 g,₹146,https://www.blinkit.com/cn/chicken/cid/4/1362
Chicken,Meatigo Fresh Boneless Chicken Breast,400 g,₹239,https://www.blinkit.com/cn/chicken/cid/4/1362
Mutton,Delichic Frozen Mutton Curry Cut,500 g,₹562,https://www.blinkit.com/cn/mutton/cid/4/1363
Mutton,Meatzza Frozen Mutton Curry Cut (Antibiotic Free),500 g,₹585,https://www.blinkit.com/cn/mutton/cid/4/1363
Mutton,Delichic Frozen Mutton Keema (Mince),500 g,₹540,https://www.blinkit.com/cn/mutton/cid/4/1363
Mutton,Meatzza Frozen Mutton Keema /Mince (Antibiotic Free),450 g,₹545,https://www.blinkit.com/cn/mutton/cid/4/1363
Mutton,Licious Goat Curry Cut (Mini Pack),300 g,₹369,https://www.blinkit.com/cn/mutton/cid/4/1363
"Sausage, Salami & Ham",Carnivore Masala Chicken Sausage,250 g,₹138,https://www.blinkit.com/cn/sausage-salami-ham/cid/4/1388
"Sausage, Salami & Ham",Prasuma Chicken Sausage,250 g,₹166,https://www.blinkit.com/cn/sausage-salami-ham/cid/4/1388
"Sausage, Salami & Ham",Godrej Yummiez Pepper & Herb Chicken Sausage (Frozen),250 g,₹169,https://www.blinkit.com/cn/sausage-salami-ham/cid/4/1388
"Sausage, Salami & Ham",Godrej Yummiez Breakfast Chicken Sausage (Frozen),250 g,₹160,https://www.blinkit.com/cn/sausage-salami-ham/cid/4/1388
"Sausage, Salami & Ham",Carnivore Spicy Chicken Salami (Frozen),250 g,₹155,https://www.blinkit.com/cn/sausage-salami-ham/cid/4/1388
"Sausage, Salami & Ham",Prasuma Chicken Ham,200 g,₹175,https://www.blinkit.com/cn/sausage-salami-ham/cid/4/1388
"Sausage, Salami & Ham",Prasuma Chilli Chicken Salami,200 g,₹165,https://www.blinkit.com/cn/sausage-salami-ham/cid/4/1388
"Sausage, Salami & Ham",Carnivore Plain Sliced Chicken Salami (Frozen),250 g,₹155,https://www.blinkit.com/cn/sausage-salami-ham/cid/4/1388
"Sausage, Salami & Ham",Carnivore Black Pepper Chicken Salami (Frozen),250 g,₹155,https://www.blinkit.com/cn/sausage-salami-ham/cid/4/1388
"Sausage, Salami & Ham",Prasuma Pork Bacon Small Pack,150 g,₹210,https://www.blinkit.com/cn/sausage-salami-ham/cid/4/1388
"Sausage, Salami & Ham",Prasuma Pork Breakfast Bacon,300 g,₹359,https://www.blinkit.com/cn/sausage-salami-ham/cid/4/1388
"Sausage, Salami & Ham",Godrej Yummiez Breakfast Chicken Salami (Frozen),250 g,₹160,https://www.blinkit.com/cn/sausage-salami-ham/cid/4/1388
"Sausage, Salami & Ham",La Carne Classic Pork Salami (Frozen),250 g,₹300,https://www.blinkit.com/cn/sausage-salami-ham/cid/4/1388
"Sausage, Salami & Ham",Godrej Yummiez Pepper & Herb Chicken Salami (Frozen),250 g,₹169,https://www.blinkit.com/cn/sausage-salami-ham/cid/4/1388
"Sausage, Salami & Ham",Venky's Breakfast Chicken Sausage (Frozen),500 g,₹217,https://www.blinkit.com/cn/sausage-salami-ham/cid/4/1388
"Sausage, Salami & Ham",La Carne Classic Chicken Salami (Frozen),250 g,₹180,https://www.blinkit.com/cn/sausage-salami-ham/cid/4/1388
"Sausage, Salami & Ham",La Carne Pork Premium Bacon,250 g,₹400,https://www.blinkit.com/cn/sausage-salami-ham/cid/4/1388
"Sausage, Salami & Ham",Godrej Yummiez Cheese & Onion Chicken Sausage,250 g,₹190,https://www.blinkit.com/cn/sausage-salami-ham/cid/4/1388
"Sausage, Salami & Ham",Delichic Herbs Chicken Sausage (Frozen),200 g,₹140,https://www.blinkit.com/cn/sausage-salami-ham/cid/4/1388
"Sausage, Salami & Ham",Prasuma Pork Pepperoni Salami,100 g,₹176,https://www.blinkit.com/cn/sausage-salami-ham/cid/4/1388
"Sausage, Salami & Ham",Prasuma Pork Sausage,250 g,₹221,https://www.blinkit.com/cn/sausage-salami-ham/cid/4/1388
"Sausage, Salami & Ham",Prasuma Pork Ham,200 g,₹226,https://www.blinkit.com/cn/sausage-salami-ham/cid/4/1388
"Sausage, Salami & Ham",Meatzza Masala Sliced Chicken Salami,250 g,₹140,https://www.blinkit.com/cn/sausage-salami-ham/cid/4/1388
"Sausage, Salami & Ham",Godrej Yummiez Chilli Chicken Sausage (Frozen),250 g,₹160,https://www.blinkit.com/cn/sausage-salami-ham/cid/4/1388
"Sausage, Salami & Ham",Meatzza Cheese Onion Chicken Sausage,200 g,₹160,https://www.blinkit.com/cn/sausage-salami-ham/cid/4/1388
"Sausage, Salami & Ham",Keventer Italian Chicken Sausage,500 g,₹305,https://www.blinkit.com/cn/sausage-salami-ham/cid/4/1388
"Sausage, Salami & Ham",Sardar Chicken Sausage / Frankfurter,250 g,₹175,https://www.blinkit.com/cn/sausage-salami-ham/cid/4/1388
