category,sub_category,item,link
Groceries,"Biscuits, Drinks & Packaged Foods",Chips & Namkeens,https://www.jiomart.com/c/groceries/biscuits-drinks-packaged-foods/chips-namkeens/29000?flow=schedule
Groceries,"Biscuits, Drinks & Packaged Foods",Biscuits & Cookies,https://www.jiomart.com/c/groceries/biscuits-drinks-packaged-foods/biscuits-cookies/28998?flow=schedule
Groceries,"Biscuits, Drinks & Packaged Foods",Chocolates & Candies,https://www.jiomart.com/c/groceries/biscuits-drinks-packaged-foods/chocolates-candies/29001?flow=schedule
Groceries,"Biscuits, Drinks & Packaged Foods",Indian Sweets,https://www.jiomart.com/c/groceries/biscuits-drinks-packaged-foods/indian-sweets/29004?flow=schedule
Groceries,"Biscuits, Drinks & Packaged Foods",Drinks & Juices,https://www.jiomart.com/c/groceries/biscuits-drinks-packaged-foods/drinks-juices/29003?flow=schedule
Groceries,"Biscuits, Drinks & Packaged Foods",Breakfast Cereals,https://www.jiomart.com/c/groceries/biscuits-drinks-packaged-foods/breakfast-cereals/28999?flow=schedule
Groceries,"Biscuits, Drinks & Packaged Foods","Noodles, Pasta & Vermicelli",https://www.jiomart.com/c/groceries/biscuits-drinks-packaged-foods/noodles-pasta-vermicelli/29005?flow=schedule
Groceries,"Biscuits, Drinks & Packaged Foods",Ready To Cook & Eat,https://www.jiomart.com/c/groceries/biscuits-drinks-packaged-foods/ready-to-cook-eat/29007?flow=schedule
Groceries,"Biscuits, Drinks & Packaged Foods","Spread, Sauces & Ketchup",https://www.jiomart.com/c/groceries/biscuits-drinks-packaged-foods/spread-sauces-ketchup/29008?flow=schedule
Groceries,"Biscuits, Drinks & Packaged Foods","Pickles, Chutney & Flavouring",https://www.jiomart.com/c/groceries/biscuits-drinks-packaged-foods/pickles-chutney-flavouring/29006?flow=schedule
Groceries,"Biscuits, Drinks & Packaged Foods",Tea & Coffee,https://www.jiomart.com/c/groceries/biscuits-drinks-packaged-foods/tea-coffee/29009?flow=schedule
Groceries,Fruits & Vegetables,Fresh Fruits,https://www.jiomart.com/c/groceries/fruits-vegetables/fresh-fruits/220?flow=schedule
Groceries,Fruits & Vegetables,Basic Vegetables,https://www.jiomart.com/c/groceries/fruits-vegetables/basic-vegetables/28981?flow=schedule
Groceries,Fruits & Vegetables,"Roots, Herbs & Others",https://www.jiomart.com/c/groceries/fruits-vegetables/roots-herbs-others/28982?flow=schedule
Groceries,Fruits & Vegetables,Premium Fruits & Vegetables,https://www.jiomart.com/c/groceries/fruits-vegetables/premium-fruits-vegetables/28983?flow=schedule
Groceries,Cooking Essentials,"Atta, Flours & Sooji",https://www.jiomart.com/c/groceries/cooking-essentials/atta-flours-sooji/28985?flow=schedule
Groceries,Cooking Essentials,Dals & Pulses,https://www.jiomart.com/c/groceries/cooking-essentials/dals-pulses/28986?flow=schedule
Groceries,Cooking Essentials,Rice,https://www.jiomart.com/c/groceries/cooking-essentials/rice/28987?flow=schedule
Groceries,Cooking Essentials,"Sabudana, Poha & Murmura",https://www.jiomart.com/c/groceries/cooking-essentials/sabudana-poha-murmura/28988?flow=schedule
Groceries,Cooking Essentials,Edible Oils,https://www.jiomart.com/c/groceries/cooking-essentials/edible-oils/28989?flow=schedule
Groceries,Cooking Essentials,"Masala, Spices & Mukhwas",https://www.jiomart.com/c/groceries/cooking-essentials/masalas-spices-mukhwas/28990?flow=schedule
Groceries,Cooking Essentials,"Salt, Sugar & Jaggery",https://www.jiomart.com/c/groceries/cooking-essentials/salt-sugar-jaggery/28991?flow=schedule
Groceries,Cooking Essentials,Wheat & Soya,https://www.jiomart.com/c/groceries/cooking-essentials/wheat-soya/28992?flow=schedule
Groceries,Cooking Essentials,Ghee,https://www.jiomart.com/c/groceries/cooking-essentials/ghee/28993?flow=schedule
Groceries,Cooking Essentials,Dry Fruits & Nuts,https://www.jiomart.com/c/groceries/cooking-essentials/dry-fruits-nuts/28994?flow=schedule
Groceries,Cooking Essentials,Millets & Organic,https://www.jiomart.com/c/groceries/cooking-essentials/millets-organic/28995?flow=schedule
Groceries,Cooking Essentials,Combo Offers,https://www.jiomart.com/c/groceries/cooking-essentials/combo-offers/28996?flow=schedule
